Input_current,Output_voltage,Input_voltage,Duty_Cycle,Power,Irradiance,Temperature
6.81867146807833,58.3732435750573,29.7825797110695,0.485,212.118654821354,1000,25
7.20600415619153,57.9951482849416,28.0790991058258,0.513,210.170607561647,1000,27
7.65124183497201,59.3179526473163,27.5505312463945,0.537,220.197268379748,1048,27
7.03087026033744,60.6202145954752,31.0175513329798,0.483,228.78052876138,1048,17
4.05419600511513,45.7447409988565,30.7882075429292,0.325,130.447697942146,588,17
4.19887178415273,44.8985156924237,28.6345079251795,0.361,125.998914130348,588,26
7.61682269238486,59.751990967525,28.2812843907515,0.529,222.953117556592,1059,26
7.40382036626257,61.0565204303103,30.3699718905615,0.501,232.307596021034,1059,15
2.34392447155619,34.0401475928815,30.0864039391639,0.117,72.4482730910966,324,15
2.32225329095966,31.6026223106126,25.9960399355729,0.179,62.3627657468219,324,49
4.60324868906218,44.9796394813709,26.3530294333876,0.417,126.22014828148,653,49
4.45339656042005,44.9241446352307,26.8045752402605,0.403,125.795720758721,653,50
6.25495645616171,51.3773455288675,25.3757401450957,0.503,164.819915365666,861,50
5.92290280603375,52.7307186190822,27.977783319802,0.465,173.217430322606,861,39
6.37390208589696,52.6650816053298,25.8465234601888,0.507,173.680866876989,863,39
5.75612385488462,55.5046141266202,31.6754422672894,0.431,192.116036410504,863,14
4.88755392204271,50.3679518826344,31.117682003358,0.385,158.273761820224,708,14
4.77224222197129,49.9473127370512,30.9533297954408,0.377,155.497588721884,708,19
5.28654044373527,52.6707967910424,31.0340120267441,0.411,172.992335159188,790,19
5.78833323738098,49.3656157191798,25.2063928649466,0.487,152.464968905379,790,49
6.42340880885942,52.5060763090782,25.8832022957197,0.505,171.862841783187,897,49
6.32625299924485,54.9891988471257,28.7565921612853,0.475,188.498278069014,897,28
6.54513434552246,56.2685186349801,29.087934245292,0.487,197.43212710356,941,28
6.58357127758452,53.3357965613943,25.9949374656384,0.517,177.394284189893,941,52
4.0959049414413,41.7129421929703,25.4060591510014,0.389,108.572062246731,569,52
3.93419582817222,45.0654580087365,30.8910444344673,0.315,126.711587226202,569,16
5.32979846501051,51.6463452010005,29.9128557333363,0.419,166.67123928875,751,16
5.17915086216762,48.7001715297854,27.2293495813654,0.437,147.730717627923,751,45
6.97085083291554,55.4868885596077,26.573857829146,0.517,191.633141331417,985,45
6.60231052325774,58.6460675518698,30.84356566828,0.469,214.14987669474,985,19
5.30869496328479,52.0448867834107,30.4901429499724,0.411,168.837634918603,771,19
5.23737856781926,50.9254914039262,29.3912281093086,0.419,161.638755205065,771,30
4.94460207814508,48.7759399695564,28.8606679080986,0.411,148.415629295262,707,30
4.76054134377867,49.0903689230482,29.9661284475906,0.391,150.307438656366,707,27
6.81547162347158,57.6441842905377,29.2156110258032,0.489,206.836172556689,983,27
7.3628263715697,53.7152994805186,23.4228031456828,0.561,180.883535745742,983,57
6.30071009886856,50.0859045337307,23.7555173594475,0.523,157.08750622097,847,57
6.05659213805239,50.7143208862504,25.5811675184939,0.493,160.300570158363,847,52
2.70220920721063,34.2650511260615,25.9478837866686,0.241,73.2861357141655,385,52
2.733284414801,35.0873390787244,27.0147809044647,0.231,76.8099433923161,385,42
5.09919010766837,47.3733498410399,26.3684545325374,0.445,140.204191334334,702,42
5.19542541135598,46.039488838976,24.2352782828368,0.471,132.684118120081,702,54
2.31107157916628,30.785710414994,24.4752879947836,0.205,59.2409551535829,315,54
2.2376552184789,33.1523483607194,30.0981879123391,0.0929999999999996,68.6089996361611,315,21
4.67964613539538,47.8014890122063,29.0628814971654,0.391,142.949149258628,654,21
4.39966890480602,48.5735256364421,31.7765118797261,0.343,147.13048026288,654,13
7.14714459227752,60.3917395380534,30.7505413855824,0.493,227.31188320188,1026,13
7.51494784803503,56.5562000518934,25.6654172086736,0.543,199.925216416777,1026,44
2.35883746444329,32.5294540683826,27.0469186667687,0.171,66.0786100083587,335,44
2.35720439974887,33.0526690345407,28.0141374807118,0.155,68.2192417873976,335,37
7.55040343134926,58.3274989012373,27.2611391132886,0.535,212.099098613859,1057,37
7.22186330594806,58.5667150799028,28.3115414193217,0.511,213.448584251676,1057,36
3.18270983435552,38.2664281042162,27.5205331444312,0.281,91.303253071509,444,36
3.08106410943248,39.3140567195531,29.9628795654889,0.235,96.3216728476675,444,23
4.07684662949177,45.5420524163954,30.2566043986687,0.337,129.197552247335,596,23
4.21171222569364,42.6325316785665,25.7695266679851,0.393,113.186030278821,596,53
3.26180028556509,37.6115693206104,25.8694919124877,0.313,88.1320915842967,464,53
3.25847810819483,37.7917281080158,26.1559997983051,0.309,88.9853338102835,464,51
2.6383529322225,33.9704345095839,26.1607091908684,0.231,71.9174714001469,376,51
2.62310876864245,37.053063906755,31.6882109040144,0.145,85.6498351039722,376,10
4.60828719587627,48.5332639266718,30.3825851444506,0.375,147.291546922009,646,10
4.57899608290692,46.2771984248096,27.9913459813387,0.393,133.563304679878,646,34
3.58010445505897,41.6401536764622,28.7660042481982,0.307,108.154022248304,522,34
3.66449954528973,39.3794634474264,25.2297365367186,0.357,96.7277039018227,522,58
2.71479250988818,33.5285935164422,24.8390313163035,0.261,70.1795959625084,380,58
2.73784135532172,35.5506242179622,27.5974637201769,0.223,79.0429078979685,380,33
4.81064391210055,48.1877363017245,28.8316528390822,0.405,144.881593667027,699,33
4.96857952435652,46.0859574706331,25.6356205011399,0.441,132.430623603451,699,53
3.60154383907987,38.6502424975045,24.538001734419,0.363,93.4815657673539,491,53
3.37395135166467,40.1174694643856,28.3788889120579,0.295,100.415363538577,491,37
